Timestamp,StrategyName,MarketName,AssetId,Side,ExecutionPrice,Shares,DollarValue
2026-02-25T16:12:33.1522091+00:00,Sniper_Strict,"Suns vs. Kings",17449598895304515984743080437711761651829754312893944547662250562651815533380,BUY,0.565,5.1203539823008849557522123894,2.8930000000000000000000000000
2026-02-25T15:52:11.7705401+00:00,Sniper_Loose,"Will the highest temperature in New York City be 39°F or below on February 27?",4566298190259099532573537136895745359417842220419562379762543528730420325724,BUY,0.895,39.329608938547486033519553073,35.200000000000000000000000000
2026-02-25T15:52:17.1911575+00:00,Sniper_Loose,"Will the highest temperature in New York City be 39°F or below on February 27?",4566298190259099532573537136895745359417842220419562379762543528730420325724,SELL,0.705,18.00,12.69000
2026-02-25T15:52:20.8800857+00:00,Sniper_Loose,"Will the highest temperature in New York City be 39°F or below on February 27?",4566298190259099532573537136895745359417842220419562379762543528730420325724,SELL,0.705,18.00,12.69000
2026-02-25T15:52:20.9236195+00:00,Sniper_Loose,"Will the highest temperature in New York City be 39°F or below on February 27?",4566298190259099532573537136895745359417842220419562379762543528730420325724,SELL,0.705,3.329608938547486033519553073,2.3473743016759776536312849165
2026-02-25T15:52:28.1920622+00:00,Sniper_Loose,"Will the highest temperature in New York City be 39°F or below on February 27?",4566298190259099532573537136895745359417842220419562379762543528730420325724,BUY,0.815,60.891249957158035438873084963,49.626368715083798882681564245
2026-02-25T15:58:24.3371409+00:00,Sniper_Loose,"Will the highest temperature in Paris be 18°C on February 27?",41009463905022656240391850542540309077137253128271449779937090415470424133588,BUY,0.935,15.743315508021390374331550802,14.720000000000000000000000000
2026-02-25T15:58:27.9624461+00:00,Sniper_Loose,"Will the highest temperature in Paris be 17°C on February 27?",42982454188243877523989302789503517604707752825135195543488453363229278651235,BUY,0.835,25.532934131736526946107784431,21.320000000000000000000000000
2026-02-25T15:58:38.6334514+00:00,Sniper_Loose,"Will the highest temperature in Paris be 16°C on February 27?",50985016814610004844980988215941868017864147689881601199684040880827786551044,BUY,0.755,25.483443708609271523178807947,19.240000000000000000000000000
2026-02-25T15:59:11.0465856+00:00,Sniper_Loose,"Will the highest temperature in Toronto be 4°C on February 27?",25230113834850294323445777808963270151346317093932336170619882187571722733760,BUY,0.465,14.322580645161290322580645161,6.6599999999999999999999999999
2026-02-25T16:06:34.2819424+00:00,Sniper_Loose,"Will the highest temperature in New York City be 39°F or below on February 27?",4566298190259099532573537136895745359417842220419562379762543528730420325724,SELL,0.595,30.00,17.85000
2026-02-25T16:06:34.2823680+00:00,Sniper_Loose,"Will the highest temperature in New York City be 39°F or below on February 27?",4566298190259099532573537136895745359417842220419562379762543528730420325724,SELL,0.585,3.1500,1.8427500
2026-02-25T16:06:34.4830404+00:00,Sniper_Loose,"Will the highest temperature in New York City be 39°F or below on February 27?",4566298190259099532573537136895745359417842220419562379762543528730420325724,SELL,0.585,3.1500,1.8427500
2026-02-25T16:06:34.5922020+00:00,Sniper_Loose,"Will the highest temperature in New York City be 39°F or below on February 27?",4566298190259099532573537136895745359417842220419562379762543528730420325724,SELL,0.595,8.00,4.76000
2026-02-25T16:06:34.5946569+00:00,Sniper_Loose,"Will the highest temperature in New York City be 39°F or below on February 27?",4566298190259099532573537136895745359417842220419562379762543528730420325724,SELL,0.595,8.00,4.76000
2026-02-25T16:06:35.3297048+00:00,Sniper_Loose,"Will the highest temperature in New York City be 39°F or below on February 27?",4566298190259099532573537136895745359417842220419562379762543528730420325724,SELL,0.595,8.00,4.76000
2026-02-25T16:06:35.3743946+00:00,Sniper_Loose,"Will the highest temperature in New York City be 39°F or below on February 27?",4566298190259099532573537136895745359417842220419562379762543528730420325724,SELL,0.595,0.591249957158035438873084963,0.3517937245090310861294855530
2026-02-25T16:07:30.7719283+00:00,Sniper_Loose,"Mexican Open: Valentin Vacherot vs Gael Monfils",90083060630827471117356730814282760133869677583763889673168308321484551999774,BUY,0.695,20.546762589928057553956834532,14.280000000000000000000000000
2026-02-25T16:08:12.8091177+00:00,Sniper_Loose,"Antalya: Iryna Shymanovich vs Despina Papamichail",30386645610912436624212242635404345048013651690523157942663222100981603679192,BUY,0.435,12.068965517241379310344827586,5.2499999999999999999999999999
2026-02-25T16:12:33.1528978+00:00,Sniper_Loose,"Suns vs. Kings",17449598895304515984743080437711761651829754312893944547662250562651815533380,BUY,0.565,5.1203539823008849557522123894,2.8930000000000000000000000000
2026-02-25T16:12:38.1499336+00:00,Sniper_Loose,"Will the highest temperature in Seoul be 10°C on February 27?",99320814380669302521341363276059723187358689832856518360938917557864438536286,BUY,0.265,75.084905660377358490566037736,19.897500000000000000000000000
